,question,answer,response,mapping,response_answer,equations,
230,Danny collects bottle caps and wrappers. He found c0 bottle caps and c1 wrappers at the park. Now he has c2 bottle caps and c3 wrappers in his collection.How many more bottle caps than wrappers did danny find at the park?,16,"Danny found c0 bottle caps and c1 wrappers at the park. Now he has c2 bottle caps and c3 wrappers in his collection. So he found c2-c0 bottle caps and c3-c1 wrappers at the park. 
bottle_caps_found = c2 - c0
wrappers_found = c3 - c1
He found bottle_caps_found - wrappers_found more bottle caps than wrappers at the park. 
difference = bottle_caps_found - wrappers_found
The answer is difference.","{'c0': 30.0, 'c1': 14.0, 'c2': 7.0, 'c3': 86.0}",-95,"['bottle_caps_found =  c2 - c0', 'wrappers_found =  c3 - c1', 'difference =  bottle_caps_found - wrappers_found', 'answer = difference']",0
231,He then went to see the oranges being harvested. He found out that they harvest c0 sacks per day and that each sack containes c1 oranges.How many oranges do they harvest per day?,280,"They harvest c0 sacks per day and each sack contains c1 oranges. So the total number of oranges harvested per day is c0 * c1. 
total_oranges = c0 * c1
The answer is total_oranges.","{'c0': 8.0, 'c1': 35.0}",280,"['total_oranges =  c0 * c1', 'answer = total_oranges']",1
232,Edward spent $ c0 to buy books and $ c1 to buy pens. Now he has $ 19.How much more did Edward spend on books than pens?,8,"Edward spent c0 dollars on books and c1 dollars on pens. So he spent a total of c0 + c1 dollars. 
total_spent = c0 + c1
If he now has $19, then he spent c0 + c1 - 19 dollars. 
money_remaining = c0 + c1 - 19
To find out how much more he spent on books than pens, we need to find the difference between c0 and c1. 
difference = c0 - c1
The answer is difference.","{'c0': 16.0, 'c1': 8.0}",8,"['total_spent =  c0 + c1', 'money_remaining =  c0 + c1 - 19', 'difference =  c0 - c1', 'answer = difference']",1
233,Emily is making bead necklaces for her friends. Each necklace takes c0 beads and she has c1 beads.How many necklaces can Emily make?,2,"Emily needs c0 beads for each necklace. She has c1 beads in total. So she can make c1 // c0 necklaces, where // is the integer division operator. 
necklaces = c1 // c0
The answer is necklaces.","{'c0': 8.0, 'c1': 16.0}",2,"['necklaces =  c1 // c0', 'answer = necklaces']",1
234,Dan has $ c0. He had $ c1 left with him after he bought a candy bar.How much did the candy bar cost?,1,"Dan started with c0 dollars. After buying a candy bar, he had c1 dollars left. So the candy bar must have cost c0 - c1 dollars. 
candy_bar_cost = c0 - c1
The answer is candy_bar_cost.","{'c0': 4.0, 'c1': 3.0}",1,"['candy_bar_cost =  c0 - c1', 'answer = candy_bar_cost']",1
235,Paul got a box of c0 crayons for his birthday. By the end of the school year he had either lost or given away c1 of them.How many crayons did he have left by the end of the school year?,183,"Paul started with c0 crayons. After losing or giving away c1, he had c0 - c1 crayons left. 
crayons_left = c0 - c1
The answer is crayons_left.","{'c0': 253.0, 'c1': 70.0}",183,"['crayons_left =  c0 - c1', 'answer = crayons_left']",1
236,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked c0 chocolate chip cookies and c1 raisin cookies yesterday. And she baked c2 raisin cookies and c3 chocolate chip cookies this morning.How many raisin cookies did Helen bake?,482,"Helen baked c0 + c1 chocolate chip and raisin cookies yesterday. And she baked c2 + c3 raisin and chocolate chip cookies this morning. So she baked c1 + c2 raisin cookies in total. 
raisin_cookies = c1 + c2
The answer is raisin_cookies.","{'c0': 144.0, 'c1': 397.0, 'c2': 85.0, 'c3': 403.0}",482,"['raisin_cookies =  c1 + c2', 'answer = raisin_cookies']",1
237,Rachel picked c0 ripe apples from her tree. Now the tree has c1 apples still on it. If c2 of those are ripe and the rest are unripeHow many ripe apples did the tree have to begin with?,8,"Rachel picked c0 ripe apples, so the tree originally had c0 + c1 apples. Out of the c1 apples still on the tree, c2 are ripe. Therefore, the tree originally had c0 + c2 ripe apples. 
ripe_apples_beginning = c0 + c2
The answer is ripe_apples_beginning.","{'c0': 2.0, 'c1': 7.0, 'c2': 6.0}",8,"['ripe_apples_beginning =  c0 + c2', 'answer = ripe_apples_beginning']",1
238,An industrial machine made c0 shirts yesterday and c1 shirts today. It can make c2 shirts a minute.How many minutes did the machine work yesterday?,3,"The machine made c0 shirts yesterday and c1 shirts today, so it made c1 - c0 shirts today. 
shirts_made_today = c1 - c0
To find out how many minutes the machine worked yesterday, we need to divide the number of shirts made yesterday by the rate of shirts made per minute. 
minutes_worked_yesterday = (c0 / c2)
The answer is minutes_worked_yesterday.","{'c0': 9.0, 'c1': 44.0, 'c2': 3.0}",3,"['shirts_made_today =  c1 - c0', 'minutes_worked_yesterday =  (c0 / c2)', 'answer = minutes_worked_yesterday']",1
239,Zachary did c0 push-ups in gym class today. David did c1 more push-ups than Zachary. John did c2 push-ups less than David.How many push-ups did John do?,69,"Zachary did c0 push-ups. David did c1 more, so he did c0 + c1 push-ups. John did c2 less than David, so he did (c0 + c1) - c2 push-ups. 
push_ups_john = (c0 + c1) - c2
The answer is push_ups_john.","{'c0': 51.0, 'c1': 22.0, 'c2': 4.0}",69,"['push_ups_john =  (c0 + c1) - c2', 'answer = push_ups_john']",1
240,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked c0 chocolate chip cookies and c1 raisin cookies yesterday. And she baked c2 raisin cookies and c3 chocolate chip cookies this morning.How many more raisin cookies did Helen bake yesterday compared to today?,20,"Helen baked c1 raisin cookies yesterday and c2 raisin cookies today. So she baked c1 - c2 more raisin cookies yesterday compared to today. 
raisin_cookies_difference = c1 - c2
The answer is raisin_cookies_difference.","{'c0': 519.0, 'c1': 300.0, 'c2': 280.0, 'c3': 359.0}",20,"['raisin_cookies_difference =  c1 - c2', 'answer = raisin_cookies_difference']",1
241,"A grocery store had c0 bottles of regular soda, c1 bottles of diet soda and c2 bottles of lite soda.How many more bottles of regular soda did they have than diet soda?",21,"The grocery store had c0 bottles of regular soda and c1 bottles of diet soda. To find the difference, we subtract c1 from c0. 
regular_soda_diff = c0 - c1
The question asks for the difference in number of bottles, not the absolute value. So if the difference is negative, we take the absolute value. 
if regular_soda_diff < 0:
    regular_soda_diff = abs(regular_soda_diff)
The answer is regular_soda_diff.","{'c0': 81.0, 'c1': 60.0, 'c2': 60.0}",21,"['regular_soda_diff =  c0 - c1', 'regular_soda_diff =  abs(regular_soda_diff)', 'answer = regular_soda_diff']",1
242,Randy has some blocks. He uses c0 blocks to build a tower. If there are c1 blocks leftHow many blocks did he have at the start?,90,"Randy used c0 blocks to build a tower and had c1 blocks left. So he started with c0 + c1 blocks. 
total_blocks = c0 + c1
The answer is total_blocks.","{'c0': 52.0, 'c1': 38.0}",90,"['total_blocks =  c0 + c1', 'answer = total_blocks']",1
243,Edward had $ c0. He spent some money. Now he has $ 3.How much money did Edward spend?,10,"Edward started with c0 dollars. After spending some money, he has 3 dollars left. So he spent c0 - 3 dollars. 
money_spent = c0 - 3
The answer is money_spent.",{'c0': 13.0},10,"['money_spent =  c0 - 3', 'answer = money_spent']",1
244,Ed had c0 more marbles than Doug. Ed lost some of his marbles at the playground. Now Ed has c1 more marbles than doug.How many marbles did Ed lose?,11,"Ed started with c0 more marbles than Doug, so Ed had c0 + Doug's marbles. After losing some marbles, Ed had c1 more than Doug, so Ed had Doug's marbles + c1. 
c0 + Doug's marbles - lost_marbles = Doug's marbles + c1
Simplifying, we get:
c0 - lost_marbles = c1
Therefore, Ed lost c0 - c1 marbles. 
lost_marbles = c0 - c1
The answer is lost_marbles.","{'c0': 19.0, 'c1': 8.0}",11,"[""lost_marbles =  Doug's marbles + c1"", 'lost_marbles =  c1', 'lost_marbles =  c0 - c1', 'answer = lost_marbles']",1
245,They decided to hold the party in their backyard. They have c0 sets of tables and each set has c1 chairs. There are also c2 chairs extra.How many chairs do they have for the guests?,174,"They have c0 sets of tables, each with c1 chairs. So they have c0 * c1 chairs from the tables. They also have c2 extra chairs. 
total_chairs = c0 * c1 + c2
The answer is total_chairs.","{'c0': 12.0, 'c1': 14.0, 'c2': 6.0}",174,"['total_chairs =  c0 * c1 + c2', 'answer = total_chairs']",1
246,The Ferris wheel in paradise park has c0 small seats and c1 large seats. Each small seat can hold c2 people and large seat can hold c3 people.How many people can ride the Ferris wheel on large seats?,84,"The number of people that can ride on small seats is c0 * c2. 
small_seat_capacity = c0 * c2
The number of people that can ride on large seats is c1 * c3. 
large_seat_capacity = c1 * c3
The answer is large_seat_capacity.","{'c0': 3.0, 'c1': 7.0, 'c2': 16.0, 'c3': 12.0}",84,"['small_seat_capacity =  c0 * c2', 'large_seat_capacity =  c1 * c3', 'answer = large_seat_capacity']",1
247,There are c0 houses in a block. If a mailman has to give c1 pieces of junk mail to each house in each blockHow many pieces of junk mail should he give each block?,640,"There are c0 houses in a block. The mailman has to give c1 pieces of junk mail to each house. So in total, he has to give c0 * c1 pieces of junk mail to each block. 
junk_mail_per_block = c0 * c1
The answer is junk_mail_per_block.","{'c0': 20.0, 'c1': 32.0}",640,"['junk_mail_per_block =  c0 * c1', 'answer = junk_mail_per_block']",1
248,"A grocery store had c0 bottles of regular soda, c1 bottles of diet soda and c2 apples.How many more bottles than apple did they have?",26,"The grocery store had c0 + c1 bottles of soda in total. So they had c0 + c1 - c2 more bottles of soda than apples. 
bottles_more_than_apples = c0 + c1 - c2
The answer is bottles_more_than_apples.","{'c0': 72.0, 'c1': 32.0, 'c2': 78.0}",26,"['bottles_more_than_apples =  c0 + c1 - c2', 'answer = bottles_more_than_apples']",1
249,There are c0 baskets of peaches. Each basket has c1 red peaches and c2 green peaches.How many green peaches are in the baskets altogether?,14,"Each basket has c1 red peaches and c2 green peaches. So in one basket, there are c1 + c2 peaches. 
total_peaches_per_basket = c1 + c2
If there are c0 baskets, then the total number of green peaches is c0 * c2. 
total_green_peaches = c0 * c2
The answer is total_green_peaches.","{'c0': 7.0, 'c1': 10.0, 'c2': 2.0}",14,"['total_peaches_per_basket =  c1 + c2', 'total_green_peaches =  c0 * c2', 'answer = total_green_peaches']",1
250,Winter is almost here and most animals are migrating to warmer countries. There are c0 bird families living near the mountain. c1 new bird families came to live near the mountain from the arctic while c2 bird families flew away further south for winter.How many bird families were left near the mountain?,27,"There were originally c0 bird families. c1 new bird families came, so the total number of bird families is c0 + c1. 
total_bird_families = c0 + c1
c2 bird families flew away, so the number of bird families left is total_bird_families - c2. 
remaining_bird_families = total_bird_families - c2
The answer is remaining_bird_families.","{'c0': 3.0, 'c1': 26.0, 'c2': 2.0}",27,"['total_bird_families =  c0 + c1', 'remaining_bird_families =  total_bird_families - c2', 'answer = remaining_bird_families']",1
251,Because of the decision Sofia asked the students to suggest specific types of food. If c0 students suggested adding mashed potatoes c1 suggested adding bacon to the menu and c2 suggested adding tomatoesHow many more students suggested mashed potatoes than those that suggested tomatoes?,65,"c0 students suggested mashed potatoes and c2 suggested tomatoes. So the difference is c0 - c2 students. 
difference = c0 - c2
The answer is difference.","{'c0': 144.0, 'c1': 467.0, 'c2': 79.0}",65,"['difference =  c0 - c2', 'answer = difference']",1
252,Jesse's rooms are c0 feet long and c1 feet wide. If she has c2 rooms in allHow much carpet does she need to cover the floors of all rooms?,6840,"Each room has an area of c0 * c1 square feet. So c2 rooms will have a total area of c0 * c1 * c2 square feet. 
total_area = c0 * c1 * c2
Jesse will need enough carpet to cover this total area. 
carpet_needed = total_area
The answer is carpet_needed.","{'c0': 19.0, 'c1': 18.0, 'c2': 20.0}",6840,"['total_area =  c0 * c1 * c2', 'carpet_needed =  total_area', 'answer = carpet_needed']",1
253,Rachel had to complete c0 pages of math homework. If she had to complete c1 more pages of reading homework than math homeworkHow many pages did she have to complete in all?,23,"Rachel had to complete c0 pages of math homework. She had to complete c1 more pages of reading homework than math homework, so she had to complete c0 + c1 pages of reading homework. 
total_homework = c0 + c0 + c1
Simplifying, total_homework = 2c0 + c1
The answer is 2c0 + c1.","{'c0': 10.0, 'c1': 3.0}",23,"['total_homework =  c0 + c0 + c1', 'total_homework =  2c0 + c1', 'answer = 2c0 + c1']",1
254,In a school there are c0 girls and the rest are boys. If there are c1 more boys than girlsHow many pupils are there in that school?,1542,"There are c0 girls in the school. The rest are boys, so the number of boys is total_pupils - c0. We also know that there are c1 more boys than girls, so we can set up an equation: 

total_pupils - c0 = c0 + c1 

Solving for total_pupils: 

total_pupils = 2c0 + c1 

The answer is 2c0 + c1.","{'c0': 700.0, 'c1': 142.0}",842,"['c0 =  c0 + c1 ', 'total_pupils =  2c0 + c1 ', 'answer = 2c0 + c1']",0
255,A waiter had c0 customers. c1 customers left.How many customers does he still have?,9,"The waiter started with c0 customers. c1 customers left, so he now has c0 - c1 customers. 
remaining_customers = c0 - c1
The answer is remaining_customers.","{'c0': 14.0, 'c1': 5.0}",9,"['remaining_customers =  c0 - c1', 'answer = remaining_customers']",1
256,Lucy went to the grocery store. She bought c0 packs of cookie and c1 packs of cake. In the end she had c2 amount of change remaining.How many packs of groceries did she buy in all?,14,"Lucy bought c0 packs of cookie and c1 packs of cake. The total cost of the groceries is c0 * cookie_price + c1 * cake_price. Let's call this total_cost. 
total_cost = c0 * cookie_price + c1 * cake_price
If she had c2 amount of change remaining, then she spent c0 * cookie_price + c1 * cake_price - c2 dollars. Let's call this money_spent. 
money_spent = total_cost - c2
We can solve for the total number of packs of groceries by adding c0 and c1. 
total_packs = c0 + c1
The answer is total_packs.","{'c0': 2.0, 'c1': 12.0, 'c2': 56.0}",14,"['total_cost =  c0 * cookie_price + c1 * cake_price', 'money_spent =  total_cost - c2', 'total_packs =  c0 + c1', 'answer = total_packs']",1
